Episode: 159 | Desired Rewards: -18.21 | Mean_100_Rewards: -102.81 | Loss: 1.36 | ewma_T: 92 | ewma_G: -19.61length of rollout buffer: 4011
Episode: 160 | Desired Rewards: -1.13 | Mean_100_Rewards: -103.16 | Loss: 1.36 | ewma_T: 94 | ewma_G: -21.58length of rollout buffer: 4050
Episode: 161 | Desired Rewards: -13.68 | Mean_100_Rewards: -103.88 | Loss: 1.37 | ewma_T: 104 | ewma_G: -18.47length of rollout buffer: 4023
Episode: 162 | Desired Rewards: -26.47 | Mean_100_Rewards: -103.46 | Loss: 1.36 | ewma_T: 96 | ewma_G: -22.44length of rollout buffer: 4069
Episode: 163 | Desired Rewards: -15.12 | Mean_100_Rewards: -103.05 | Loss: 1.36 | ewma_T: 96 | ewma_G: -21.64length of rollout buffer: 4044
Episode: 164 | Desired Rewards: -10.69 | Mean_100_Rewards: -102.10 | Loss: 1.36 | ewma_T: 94 | ewma_G: -20.49length of rollout buffer: 4054
Episode: 165 | Desired Rewards: -0.53 | Mean_100_Rewards: -101.34 | Loss: 1.36 | ewma_T: 106 | ewma_G: -22.47length of rollout buffer: 4074
Episode: 166 | Desired Rewards: -16.98 | Mean_100_Rewards: -101.12 | Loss: 1.36 | ewma_T: 97 | ewma_G: -22.98length of rollout buffer: 4020
Episode: 167 | Desired Rewards: -24.75 | Mean_100_Rewards: -101.61 | Loss: 1.37 | ewma_T: 98 | ewma_G: -23.92length of rollout buffer: 4103
Episode: 168 | Desired Rewards: -12.89 | Mean_100_Rewards: -101.65 | Loss: 1.36 | ewma_T: 96 | ewma_G: -23.46length of rollout buffer: 4007
Episode: 169 | Desired Rewards: -25.23 | Mean_100_Rewards: -102.52 | Loss: 1.36 | ewma_T: 95 | ewma_G: -25.11length of rollout buffer: 4053
Episode: 170 | Desired Rewards: -9.40 | Mean_100_Rewards: -101.96 | Loss: 1.37 | ewma_T: 94 | ewma_G: -21.37length of rollout buffer: 4058
